Source	INDLABEL	h_posterior_mode	h_cred_int_lower	h_cred_int_upper	beta_mean	beta_var	beta_shape1	beta_shape2	dataset	BX0.rf_votes	BX1.rf_votes	F1_F2.rf_votes	source0.rf_votes	source1.rf_votes	BX0.abc_prob	BX1.abc_prob	F1_F2.abc_prob	source0.abc_prob	source1.abc_prob	rf	max_rf_votes	abc	max_abc_prob
1	S0	cayo_4792_1	0	0	0.0208	0.00473256813613977	3.33657211545608e-05	0.6634	139.5046	observed	0.0059	0	0	0.9941	0	0	0	0	1	0	source0	0.9941	source0	1
2	S0	cayo_4804_1	0	2e-04	0.0595	0.0152519168693257	0.00026447313579101	0.8509	54.9386	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
3	S0	cayo_4878_1	0.0055	0.0013	0.0936	0.0283359280504162	0.000620293668311726	1.2294	42.1576	observed	1e-04	2e-04	0	0.9997	0	0	0	0	1	0	source0	0.9997	source0	1
4	S0	cayo_4914_1	0	0	0.0327	0.00665733388310301	8.40366812457431e-05	0.5172	77.1748	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
5	S0	cayo_4940_1	0	2e-04	0.0568	0.0141548561144486	0.000242143289492038	0.8016	55.8275	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
6	TEST	corn_1181_1	0.2143	0.1541	0.2903	0.218390191411103	0.00121388938881736	30.4914	109.1276	observed	0.9883	0	0.006	0.0056	1e-04	1	0	0	0	0	BX0	0.9883	BX0	1
7	S1	fuen_13947_1	1	0.9389	0.9999	0.986323204532112	0.000287505382029661	45.2919	0.628	observed	0.0039	1e-04	1e-04	3e-04	0.9956	0	0	0	0	1	source1	0.9956	source1	1
8	TEST	fuen_16205_1	0.2809	0.2134	0.3603	0.283994711887216	0.00141102357209078	40.6423	102.4671	observed	0.967	0	0.0202	0.0127	1e-04	1	0	0	0	0	BX0	0.967	BX0	1
9	TEST	fuen_19073_1	0.1522	0.095	0.2357	0.159022773541497	0.00130069786800751	16.1913	85.6262	observed	0.9318	1e-04	0.0112	0.0563	6e-04	1	0	0	0	0	BX0	0.9318	BX0	1
10	S0	fuen_19218_1	0	1e-04	0.0572	0.0135474284628451	0.000249193672242699	0.713	51.9156	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
11	S1	fuen_20051_1	0.998	0.8704	0.9989	0.962933660028561	0.0012148907398644	27.3272	1.0519	observed	0.0078	0.0652	0.0137	4e-04	0.9129	0	0	0	0	1	source1	0.9129	source1	1
12	S0	fuen_20053_1	0	1e-04	0.0329	0.00772710531395168	8.28833195397306e-05	0.7071	90.8012	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
13	S0	fuen_20055_1	0	0	0.0343	0.00620019849639466	9.44606038252937e-05	0.3982	63.8327	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
14	TEST	fuen_20056_1	0.5294	0.453	0.6044	0.52904182086695	0.00149489390891862	87.6473	78.0245	observed	0	0.0066	0.9933	0	1e-04	0	0	1	0	0	F1_F2	0.9933	F1_F2	1
15	S1	fuen_20060_1	1	0.944	1	0.99088581204867	0.000254733306416322	34.1392	0.314	observed	0.0039	1e-04	1e-04	3e-04	0.9956	0	0	0	0	1	source1	0.9956	source1	1
16	S0	fuen_21729_1	0	0	0.0443	0.010018286962567	0.000150611134160948	0.6497	64.2015	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
17	S0	fuen_21730_1	0.0013	6e-04	0.064	0.0181421425377102	0.000296391555710998	1.0722	58.0274	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
18	S0	fuen_21731_1	0	1e-04	0.0494	0.0123099213647275	0.000183701356149553	0.8024	64.3832	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
19	S0	fuen_21732_1	0	1e-04	0.0389	0.00970708842004126	0.000113891455454313	0.8096	82.5941	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
20	S0	fuen_21734_1	0	1e-04	0.0247	0.00600419579446485	4.63631528231803e-05	0.7669	126.9592	observed	0.0059	0	0	0.9941	0	0	0	0	1	0	source0	0.9941	source0	1
21	S0	fuen_21735_1	0	0	0.0272	0.00638912157432896	5.64652204465135e-05	0.7119	110.7166	observed	0.0021	0	0	0.9979	0	0	0	0	1	0	source0	0.9979	source0	1
22	S0	fuen_21736_1	0	1e-04	0.0382	0.00896490976912992	0.000111129605171098	0.7078	78.2398	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
